,5771,4327,2641,2353,6280,4534,5592,2440,6854,1629,3055,5500,4176,4388,2347,7118,5190,2908,5253,6514,1927,4972,3095,1908,1703,2019,4846,3319,1744,3846,1833,2287,5038,1881,4195,6200,2401,3257,2241,1248,2110,6199,2120,2042,2185,6372,6538,6802,6375,4051
Gene Description,C-myb gene extracted from Human (c-myb) gene; complete primary cds; and five complete alternatively spliced cds,PROTEASOME IOTA CHAIN,MB-1 gene,CCND3 Cyclin D3,MYL1 Myosin light chain (alkali),RETINOBLASTOMA BINDING PROTEIN P48,Transcriptional activator hSNF2b,HKR-T1,TCF3 Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47),Inducible protein mRNA,Cytoplasmic dynein light chain 1 (hdlc1) mRNA,TOP2B Topoisomerase (DNA) II beta (180kD),IRF2 Interferon regulatory factor 2,GTF2E2 General transcription factor TFIIE beta subunit; 34 kD,ACADM Acyl-Coenzyme A dehydrogenase; C-4 to C-12 straight chain,Transcriptional activator hSNF2b,Adenosine triphosphatase; calcium,SRP9 Signal recognition particle 9 kD protein,MCM3 Minichromosome maintenance deficient (S. cerevisiae) 3,DHPS Deoxyhypusine synthase,Oncoprotein 18 (Op18) gene,RABAPTIN-5 protein,Heterochromatin protein p25 mRNA,IL7R Interleukin 7 receptor,ADA Adenosine deaminase,FAH Fumarylacetoacetate,Zyxin,Leukotriene C4 synthase (LTC4S) gene,LYN V-yes-1 Yamaguchi sarcoma viral related oncogene homolog,GB DEF = Homeodomain protein HoxA9 mRNA,CD33 CD33 antigen (differentiation antigen),DF D component of complement (adipsin),LEPR Leptin receptor,CST3 Cystatin C (amyloid angiopathy and cerebral hemorrhage),PRG1 Proteoglycan 1; secretory granule,INTERLEUKIN-8 PRECURSOR,Azurocidin gene,Phosphotyrosine independent ligand p62 for the Lck SH2 domain mRNA,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE; MITOCHONDRIAL PRECURSOR,INDUCED MYELOID LEUKEMIA CELL DIFFERENTIATION PROTEIN MCL1,ATP6C Vacuolar H+ ATPase proton channel subunit,Interleukin 8 (IL8) gene,CTSD Cathepsin D (lysosomal aspartyl protease),LGALS3 Lectin; galactoside-binding; soluble; 3 (galectin 3) (NOTE: redefinition of symbol),MAJOR HISTOCOMPATIBILITY COMPLEX ENHANCER-BINDING PROTEIN MAD3,ITGAX Integrin; alpha X (antigen CD11C (p150); alpha polypeptide),Epb72 gene exon 1,LYZ Lysozyme,PFC Properdin P factor; complement,Catalase (EC 1.11.1.6) 5'flank and exon 1 mapping to chromosome 11; band p13 (and joined CDS)
Gene Accession Number,U22376_cds2_s_at,X59417_at,U05259_rna1_at,M92287_at,M31211_s_at,X74262_at,D26156_s_at,S50223_at,M31523_at,L47738_at,U32944_at,Z15115_at,X15949_at,X63469_at,M91432_at,U29175_at,Z69881_at,U20998_at,D38073_at,U26266_s_at,M31303_rna1_at,Y08612_at,U35451_at,M29696_at,M13792_at,M55150_at,X95735_at,U50136_rna1_at,M16038_at,U82759_at,M23197_at,M84526_at,Y12670_at,M27891_at,X17042_at,Y00787_s_at,M96326_rna1_at,U46751_at,M80254_at,L08246_at,M62762_at,M28130_rna1_s_at,M63138_at,M57710_at,M69043_at,M81695_s_at,X85116_rna1_s_at,M19045_f_at,M83652_s_at,X04085_rna1_at
1,3105,3016,9326,4778,601,1372,1595,268,1320,571,3349,8444,277,460,767,1582,1766,1753,994,289,3828,517,408,3863,3221,654,298,1124,365,393,261,-283,600,303,177,333,782,1298,-88,543,835,292,1410,-115,1489,695,162,382,-70,1057
2,1118,3424,895,2700,435,1184,822,346,898,2893,1002,1920,104,151,814,624,2015,1602,539,288,3021,351,633,511,10954,1283,307,1062,624,118,101,-65,337,1358,3460,5345,368,1379,109,2972,3072,2062,2325,2171,6084,812,169,3606,364,1395
3,4543,7724,628,4926,547,2221,1452,804,597,2723,2089,3118,91,230,1547,753,3556,2761,1441,447,7247,214,912,1952,16529,1286,309,1398,108,667,309,-395,574,254,416,301,1268,1496,-53,485,609,-25,2789,-26,2281,810,-18,2997,-208,823
4,5467,3821,5314,5403,472,1051,654,452,1644,731,1625,4261,403,314,831,743,828,1486,680,424,3780,432,304,6127,5364,915,693,942,873,410,288,-367,716,-304,392,241,882,1401,-111,740,935,-2,1132,22,2178,599,199,1331,34,1655
5,3469,5216,5354,3440,661,1370,1011,476,1322,649,3502,3425,416,632,1423,626,1496,2298,950,364,3563,596,398,2547,2837,732,713,928,686,119,395,290,524,-86,7972,93,949,1894,139,2453,1665,138,1269,244,1094,282,334,3069,218,2000
6,3309,4194,282,3179,337,1306,1584,256,787,1858,316,1790,46,181,430,1157,2606,1013,1258,320,4890,220,506,1804,16135,691,247,842,302,147,58,-40,270,1168,597,215,910,528,46,375,499,23,1854,108,1513,711,117,2850,401,537
7,3936,5528,5146,3978,309,1339,578,208,946,280,1530,3810,267,213,764,552,473,898,509,381,3330,196,357,1129,6067,853,52,1066,325,735,84,-366,463,-233,403,159,826,1747,-77,961,764,107,2735,-45,2866,556,378,1201,255,6133
8,4745,2073,4048,3293,263,655,1024,310,1917,1716,1042,6153,314,227,752,572,2067,1586,331,53,4213,436,134,1412,3103,1238,-215,1668,244,248,251,-656,689,-247,140,455,1302,1514,-214,404,1323,-19,1962,674,2129,1281,571,1947,-100,775
9,4081,7782,423,7324,978,3593,1297,640,1440,2388,2286,3303,210,362,1777,1776,4461,2334,1974,869,7230,513,982,5817,15235,822,-223,966,273,258,155,-231,262,336,848,445,1337,803,94,783,1741,104,2900,103,3862,746,-8,2629,521,633
10,1658,5204,585,2676,752,1058,971,152,442,913,934,1329,97,47,426,756,1777,878,664,403,5052,114,613,769,8982,885,492,1175,144,409,167,-36,167,498,1094,522,82,1939,45,1288,1188,-35,1855,252,1974,513,176,2148,-169,463
11,2853,6541,147,6134,897,953,1913,441,617,2147,282,2525,27,225,472,1972,2744,2016,884,526,3352,492,745,1704,8630,680,-25,626,34,306,140,-152,174,-376,1343,1278,737,587,40,733,1870,189,1471,9,2561,461,139,969,-276,628
12,551,846,2504,2056,334,209,329,90,474,140,277,1277,-2,43,76,219,291,426,314,60,2290,119,15,363,1695,412,408,747,399,15,287,41,258,107,5252,3684,1296,1347,267,2095,1030,1855,1763,988,7901,494,530,3939,252,294
13,4746,7743,5075,10669,668,1624,1593,545,1969,556,2069,6216,588,495,920,1322,3578,2151,1991,673,4751,393,810,1515,4765,548,724,706,281,87,152,-104,201,-97,2408,116,160,1489,70,1405,1482,3,786,-42,3602,315,182,210,4,1220
14,1534,1756,155,1912,265,2050,1011,570,686,1483,1613,3382,307,442,606,732,1706,2263,1062,308,2346,416,404,3854,3529,1157,360,864,589,188,145,-140,180,820,2525,94,838,1784,136,742,892,9,2337,389,1204,1030,452,3633,493,662
15,5311,7288,5767,9211,898,1995,1763,571,2572,1505,2952,5831,747,522,1417,1636,2041,2901,1030,929,3347,651,547,4436,9000,387,938,515,854,99,81,-198,625,76,2133,29,520,2286,135,1718,1306,91,2035,-46,2859,333,304,735,114,1990
16,4326,6084,3649,3345,666,1625,2065,235,1439,904,3110,5617,393,467,869,2076,3847,2523,675,698,3207,278,72,2206,10227,707,848,825,289,67,202,-102,330,36,1232,38,478,944,18,623,593,73,1910,-48,1259,426,540,637,-91,1143
17,7155,2455,218,2360,374,3139,1778,352,989,643,2591,3714,822,485,2031,917,8578,3297,1731,1060,6633,623,665,754,8469,1822,926,1837,534,-226,286,-158,784,375,1150,282,7,1888,184,1016,2376,17,4215,-83,2689,588,1263,973,78,2474
