"","V1","V2","V3"
"1","MMM","Industrials","3M Co"
"2","ACE","Financials","ACE Limited"
"3","ABT","Health Care","Abbott Laboratories"
"4","ANF","Consumer Discretionary","Abercrombie & Fitch Company A"
"5","ADBE","Information Technology","Adobe Systems Inc"
"6","AMD","Information Technology","Advanced Micro Devices"
"7","AES","Utilities","AES Corp"
"8","AET","Health Care","Aetna Inc"
"9","AFL","Financials","AFLAC Inc"
"10","A","Information Technology","Agilent Technologies Inc"
"11","APD","Materials","Air Products & Chemicals Inc"
"12","ARG","Materials","Airgas Inc"
"13","AKS","Materials","AK Steel Hldg Corp"
"14","AKAM","Information Technology","Akamai Technologies Inc"
"15","AA","Materials","Alcoa Inc"
"16","ATI","Materials","Allegheny Technologies Inc"
"17","AGN","Health Care","Allergan Inc"
"18","ALL","Financials","Allstate Corp"
"19","ALTR","Information Technology","Altera Corp"
"20","MO","Consumer Staples","Altria Group Inc"
"21","AMZN","Consumer Discretionary","Amazon.com Inc"
"22","AEE","Utilities","Ameren Corp"
"23","AEP","Utilities","American Electric Power"
"24","AXP","Financials","American Express Co"
"25","AIG","Financials","American Intl Group Inc"
"26","AMT","Telecommunications Services","American Tower Corp A"
"27","ABC","Health Care","AmerisourceBergen Corp"
"28","AMGN","Health Care","Amgen Inc"
"29","APH","Industrials","Amphenol Corp A"
"30","APC","Energy","Anadarko Petroleum Corp"
"31","ADI","Information Technology","Analog Devices Inc"
"32","AON","Financials","Aon Corporation"
"33","APA","Energy","Apache Corporation"
"34","AIV","Financials","Apartment Investment & Mgmt"
"35","APOL","Consumer Discretionary","Apollo Group Inc"
"36","AAPL","Information Technology","Apple Inc."
"37","AMAT","Information Technology","Applied Materials Inc"
"38","ADM","Consumer Staples","Archer-Daniels-Midland Co"
"39","T","Telecommunications Services","AT&T Inc"
"40","ADSK","Information Technology","Autodesk Inc"
"41","ADP","Information Technology","Automatic Data Processing"
"42","AN","Consumer Discretionary","AutoNation Inc"
"43","AZO","Consumer Discretionary","AutoZone Inc"
"44","AVB","Financials","AvalonBay Communities Inc"
"45","AVY","Industrials","Avery Dennison Corp"
"46","AVP","Consumer Staples","Avon Products"
"47","BHI","Energy","Baker Hughes Inc"
"48","BLL","Materials","Ball Corp"
"49","BAC","Financials","Bank of America Corp"
"50","BK","Financials","The Bank of New York Mellon Corp."
"51","BCR","Health Care","Bard (C.R.) Inc."
"52","BAX","Health Care","Baxter International Inc."
"53","BBT","Financials","BB&T Corporation"
"54","BDX","Health Care","Becton Dickinson"
"55","BBBY","Consumer Discretionary","Bed Bath & Beyond"
"56","BMS","Materials","Bemis Company"
"57","BBY","Consumer Discretionary","Best Buy Co. Inc."
"58","BIG","Consumer Discretionary","Big Lots Inc."
"59","BIIB","Health Care","BIOGEN IDEC Inc."
"60","BLK","Financials","Blackrock"
"61","HRB","Consumer Discretionary","Block H&R"
"62","BMC","Information Technology","BMC Software"
"63","BA","Industrials","Boeing Company"
"64","BXP","Financials","Boston Properties"
"65","BSX","Health Care","Boston Scientific"
"66","BMY","Health Care","Bristol-Myers Squibb"
"67","BRCM","Information Technology","Broadcom Corporation"
"68","CA","Information Technology","CA, Inc."
"69","CVC","Consumer Discretionary","Cablevision Systems Corp."
"70","COG","Energy","Cabot Oil & Gas"
"71","CAM","Energy","Cameron International Corp."
"72","CPB","Consumer Staples","Campbell Soup"
"73","COF","Financials","Capital One Financial"
"74","CAH","Health Care","Cardinal Health Inc."
"75","KMX","Consumer Discretionary","Carmax Inc"
"76","CCL","Consumer Discretionary","Carnival Corp."
"77","CAT","Industrials","Caterpillar Inc."
"78","CELG","Health Care","Celgene Corp."
"79","CNP","Utilities","CenterPoint Energy"
"80","CTL","Telecommunications Services","CenturyTel Inc"
"81","CEPH","Health Care","Cephalon Inc"
"82","CERN","Health Care","Cerner"
"83","SCHW","Financials","Charles Schwab"
"84","CHK","Energy","Chesapeake Energy"
"85","CVX","Energy","Chevron Corp."
"86","CB","Financials","Chubb Corp."
"87","CI","Health Care","CIGNA Corp."
"88","CINF","Financials","Cincinnati Financial"
"89","CTAS","Industrials","Cintas Corporation"
"90","CSCO","Information Technology","Cisco Systems"
"91","C","Financials","Citigroup Inc."
"92","CTXS","Information Technology","Citrix Systems"
"93","CLF","Materials","Cliffs Natural Resources"
"94","CLX","Consumer Staples","Clorox Co."
"95","CME","Financials","CME Group Inc."
"96","CMS","Utilities","CMS Energy"
"97","COH","Consumer Discretionary","Coach Inc."
"98","KO","Consumer Staples","Coca Cola Co."
"99","CCE","Consumer Staples","Coca-Cola Enterprises"
"100","CTSH","Information Technology","Cognizant Technology Solutions"
"101","CL","Consumer Staples","Colgate-Palmolive"
"102","CMCSA","Consumer Discretionary","Comcast Corp."
"103","CMA","Financials","Comerica Inc."
"104","CSC","Information Technology","Computer Sciences Corp."
"105","CPWR","Information Technology","Compuware Corp."
"106","COP","Energy","ConocoPhillips"
"107","CNX","Energy","CONSOL Energy Inc."
"108","ED","Utilities","Consolidated Edison"
"109","STZ","Consumer Staples","Constellation Brands"
"110","CEG","Utilities","Constellation Energy Group"
"111","GLW","Industrials","Corning Inc."
"112","COST","Consumer Staples","Costco Co."
"113","CVH","Health Care","Coventry Health Care Inc."
"114","CSX","Industrials","CSX Corp."
"115","CMI","Industrials","Cummins Inc."
"116","CVS","Consumer Staples","CVS Caremark Corp."
"117","DHI","Consumer Discretionary","D. R. Horton"
"118","DHR","Industrials","Danaher Corp."
"119","DRI","Consumer Discretionary","Darden Restaurants"
"120","DVA","Health Care","DaVita Inc."
"121","DF","Consumer Staples","Dean Foods"
"122","DE","Industrials","Deere & Co."
"123","DELL","Information Technology","Dell Inc."
"124","DNR","Energy","Denbury Resources Inc."
"125","XRAY","Health Care","Dentsply International"
"126","DVN","Energy","Devon Energy Corp."
"127","DV","Consumer Discretionary","DeVry, Inc."
"128","DO","Energy","Diamond Offshore Drilling"
"129","D","Utilities","Dominion Resources"
"130","RRD","Industrials","Donnelley (R.R.) & Sons"
"131","DOV","Industrials","Dover Corp."
"132","DOW","Materials","Dow Chemical"
"133","DTE","Utilities","DTE Energy Co."
"134","DD","Materials","Du Pont (E.I.)"
"135","DUK","Utilities","Duke Energy"
"136","DNB","Industrials","Dun & Bradstreet"
"137","ETFC","Financials","E-Trade"
"138","EMN","Materials","Eastman Chemical"
"139","EBAY","Information Technology","eBay Inc."
"140","ECL","Materials","Ecolab Inc."
"141","EIX","Utilities","Edison Int'l"
"142","EW","Health Care","Edwards Lifesciences"
"143","EP","Energy","El Paso Corp."
"144","ERTS","Information Technology","Electronic Arts"
"145","EMC","Information Technology","EMC Corp."
"146","EMR","Industrials","Emerson Electric"
"147","ETR","Utilities","Entergy Corp."
"148","EOG","Energy","EOG Resources"
"149","EQT","Utilities","EQT Corporation"
"150","EFX","Financials","Equifax Inc."
"151","EQR","Financials","Equity Residential"
"152","EL","Consumer Staples","Estee Lauder Cos."
"153","EXC","Utilities","Exelon Corp."
"154","EXPD","Industrials","Expeditors Int'l"
"155","ESRX","Health Care","Express Scripts"
"156","XOM","Energy","Exxon Mobil Corp."
"157","FFIV","Information Technology","F5 Networks"
"158","FDO","Consumer Discretionary","Family Dollar Stores"
"159","FAST","Industrials","Fastenal Co"
"160","FII","Financials","Federated Investors Inc."
"161","FDX","Industrials","FedEx Corporation"
